# index, name, _pos
194,239,"array([6.94435434, 2.05687197])"
195,240,"array([6.92429599, 2.05367162])"
196,241,"array([6.94315589, 2.048723  ])"
197,242,"array([6.94026144, 2.0738722 ])"
198,244,"array([6.92971563, 2.05474061])"
199,164,"array([6.92300072, 2.05072135])"
200,245,"array([6.93539957, 2.05529137])"
201,246,"array([6.94840324, 2.07172874])"
202,247,"array([6.92332293, 2.06188579])"
203,248,"array([6.95565483, 2.05233479])"
204,250,"array([6.92172575, 2.04903546])"
205,251,"array([6.94628701, 2.06068112])"
206,249,"array([6.93266759, 2.04506202])"
207,243,"array([6.94708568, 2.04860478])"
208,252,"array([6.91380262, 2.04826324])"
209,253,"array([6.98484833, 2.03048674])"
210,255,"array([6.92999455, 2.06398078])"
211,256,"array([6.93956833, 2.06190506])"
212,257,"array([6.92727758, 2.05305101])"
213,258,"array([6.93010974, 2.05642413])"
214,259,"array([6.92597628, 2.04947794])"
215,260,"array([6.92316568, 2.05314378])"
216,261,"array([6.92925974, 2.04876724])"
217,262,"array([6.93604188, 2.04465831])"
218,263,"array([6.95431173, 2.03327858])"
219,264,"array([6.91211987, 2.04771943])"
220,265,"array([6.9280654 , 2.06132415])"
221,266,"array([6.93885744, 2.04949975])"
222,267,"array([6.98714777, 2.07653487])"
223,268,"array([6.930951  , 2.05316702])"
224,229,"array([6.92643213, 2.0597284 ])"
225,221,"array([6.93387348, 2.0604146 ])"
226,269,"array([6.93370482, 2.05297584])"
227,271,"array([6.92713603, 2.05878664])"
228,272,"array([6.94229931, 2.05871002])"
229,273,"array([6.93970514, 2.05094092])"
230,274,"array([6.93654881, 2.06571283])"
231,275,"array([6.9207636 , 2.06138964])"
232,276,"array([6.93165702, 2.04744309])"
233,270,"array([6.94570286, 2.05631072])"
234,277,"array([6.93113704, 2.04380725])"
235,279,"array([6.91635804, 2.04694122])"
236,278,"array([6.91660205, 2.05085794])"
237,280,"array([6.94979261, 2.06782705])"
238,281,"array([6.97052708, 2.04866236])"
239,282,"array([6.92754646, 2.04320957])"
240,283,"array([6.93630867, 2.05334732])"
241,284,"array([6.93614285, 2.04924745])"
242,285,"array([6.92946147, 2.05706861])"
243,286,"array([6.92652112, 2.04840535])"
244,287,"array([6.91951949, 2.0587971 ])"
245,288,"array([6.931545  , 2.05769341])"
246,290,"array([6.92268375, 2.06904926])"
247,291,"array([6.91777361, 2.04636323])"
248,292,"array([6.92756557, 2.04799659])"
249,293,"array([6.9376233 , 2.05903259])"
250,294,"array([6.9218001 , 2.04728323])"
251,295,"array([6.93711115, 2.04796512])"
252,296,"array([6.9289938 , 2.05402394])"
253,297,"array([6.92707305, 2.05161562])"
254,298,"array([6.93045923, 2.04696133])"
255,299,"array([6.91869383, 2.04385291])"
256,301,"array([6.926447  , 2.05498929])"
257,302,"array([6.91465756, 2.04076617])"
258,303,"array([6.92823391, 2.06670004])"
259,304,"array([6.94356782, 2.06624939])"
260,254,"array([6.92698997, 2.05775334])"
261,305,"array([6.91442677, 2.03240578])"
262,306,"array([6.91532252, 2.03094545])"
263,307,"array([6.91482268, 2.05095615])"
264,308,"array([6.94414425, 2.06794289])"
265,309,"array([6.94608995, 2.05737457])"
266,310,"array([6.93653941, 2.05544274])"
267,311,"array([6.92570664, 2.05709329])"
268,312,"array([6.93849999, 2.06847762])"
269,314,"array([6.92125583, 2.05011802])"
270,313,"array([6.93756875, 2.06761338])"
271,315,"array([6.91506528, 2.04571598])"
272,316,"array([6.92656873, 2.0505891 ])"
273,317,"array([6.94073768, 2.04730062])"
274,318,"array([6.93634649, 2.05914856])"
275,319,"array([6.94673028, 2.04054668])"
276,320,"array([6.92974139, 2.04776427])"
277,322,"array([6.94958917, 2.04836203])"
278,323,"array([6.92019505, 2.03185364])"
279,324,"array([6.93071815, 2.05933482])"
280,325,"array([6.93986124, 2.06335893])"
281,326,"array([6.9227859 , 2.04594318])"
282,321,"array([6.93308364, 2.05917555])"
283,327,"array([6.91706775, 2.06286932])"
284,328,"array([6.92106117, 2.06041437])"
285,329,"array([6.95458775, 2.02899724])"
286,334,"array([6.90976701, 2.0374104 ])"
287,338,"array([6.90986188, 2.03545726])"
288,345,"array([6.93825628, 2.04794277])"
289,346,"array([6.95417444, 2.05025745])"
290,289,"array([6.9177802 , 2.05481073])"
291,347,"array([6.93962422, 2.05927135])"
292,349,"array([6.92306237, 2.03056076])"
293,340,"array([6.93972741, 2.0571909 ])"
294,336,"array([6.90637481, 2.03790363])"
295,350,"array([6.94662444, 2.0552583 ])"
296,352,"array([6.92935005, 2.04383573])"
297,353,"array([6.95021789, 2.06584907])"
298,354,"array([6.92424823, 2.04118533])"
299,355,"array([6.94922126, 2.05040182])"
300,356,"array([6.92618739, 2.05826629])"
301,357,"array([6.93195498, 2.05264975])"
302,359,"array([6.94152284, 2.05593369])"
303,339,"array([6.92073719, 2.04520166])"
304,360,"array([6.91301324, 2.05103396])"
305,366,"array([6.94014058, 2.06446711])"
306,367,"array([6.92156685, 2.03106139])"
307,368,"array([6.9232809 , 2.04190504])"
308,358,"array([6.92533394, 2.05177538])"
309,370,"array([6.90936481, 2.05260846])"
310,371,"array([6.95128633, 2.04624682])"
311,372,"array([6.93421672, 2.04199143])"
312,363,"array([6.94330794, 2.07105299])"
313,375,"array([6.92930919, 2.05198896])"
314,377,"array([6.92339667, 2.05182285])"
315,374,"array([6.96387554, 2.05062624])"
316,378,"array([6.93687089, 2.04869813])"
317,379,"array([6.95590585, 2.02991891])"
318,380,"array([6.95064408, 2.04801427])"
319,382,"array([6.94900467, 2.03950982])"
320,383,"array([6.93428645, 2.05011573])"
321,384,"array([6.9395527 , 2.05540279])"
322,385,"array([6.92478942, 2.0274557 ])"
323,386,"array([6.9364667 , 2.05150984])"
324,348,"array([6.92600559, 2.0452252 ])"
325,387,"array([6.94825782, 2.05101474])"
326,388,"array([6.90241794, 2.05309039])"
327,389,"array([6.94015559, 2.03902168])"
328,390,"array([6.95260245, 2.04775263])"
329,391,"array([6.95931128, 2.02904768])"
330,392,"array([6.92097549, 2.05162854])"
331,330,"array([6.93653033, 2.06266504])"
332,351,"array([6.93040041, 2.04875988])"
333,393,"array([6.93898467, 2.05040848])"
334,342,"array([6.94501646, 2.06614628])"
335,395,"array([6.94636149, 2.07515219])"
336,396,"array([6.93419385, 2.05241678])"
337,397,"array([6.926219  , 2.05355938])"
338,399,"array([6.94115393, 2.05104177])"
339,400,"array([6.91004633, 2.04531821])"
340,401,"array([6.94139424, 2.05502716])"
341,402,"array([6.93859748, 2.04523705])"
342,403,"array([6.92751902, 2.03581241])"
343,404,"array([6.93625783, 2.06409221])"
344,405,"array([6.93799897, 2.048891  ])"
345,406,"array([6.9177632 , 2.04986393])"
346,407,"array([6.93426649, 2.03885952])"
347,408,"array([6.93896773, 2.05457165])"
348,409,"array([6.93143269, 2.06174983])"
349,410,"array([6.92908138, 2.04662874])"
350,411,"array([6.92826408, 2.04879997])"
351,412,"array([6.93177366, 2.06061283])"
352,414,"array([6.91172693, 2.04916085])"
353,415,"array([6.9584283 , 2.05880172])"
354,418,"array([6.94381101, 2.04698339])"
355,300,"array([6.91955612, 2.04574771])"
356,421,"array([6.93725001, 2.05101815])"
357,423,"array([6.93423231, 2.04398999])"
358,333,"array([6.90950644, 2.04708119])"
359,341,"array([6.9049087 , 2.04480917])"
360,427,"array([6.93206741, 2.05181006])"
361,428,"array([6.93285613, 2.05479961])"
362,429,"array([6.9216263 , 2.04606511])"
363,332,"array([6.91591695, 2.0769762 ])"
364,394,"array([6.93582401, 2.04057232])"
365,430,"array([6.92732443, 2.02465847])"
366,432,"array([6.92526853, 2.05334688])"
367,433,"array([6.93692387, 2.05701976])"
368,434,"array([6.92337732, 2.0699972 ])"
369,435,"array([6.92586185, 2.03862526])"
370,436,"array([6.93826222, 2.06365712])"
371,437,"array([6.9285229 , 2.05733125])"
372,438,"array([6.93631944, 2.05040266])"
373,439,"array([6.93729471, 2.04487869])"
374,441,"array([6.93434518, 2.05634825])"
375,442,"array([6.92376483, 2.05754442])"
376,443,"array([6.93057662, 2.03762591])"
377,440,"array([6.92537273, 2.04028047])"
378,444,"array([6.92696301, 2.03322993])"
379,445,"array([6.91145553, 2.07355602])"
380,446,"array([6.94322876, 2.06511564])"
381,365,"array([6.91895853, 2.0424533 ])"
382,448,"array([6.93990835, 2.06843413])"
383,449,"array([6.92827285, 2.04436985])"
384,431,"array([6.92782507, 2.05246233])"
385,450,"array([6.9224305, 2.0706932])"
386,451,"array([6.9553088 , 2.05481144])"
387,452,"array([6.94542406, 2.05389387])"
388,453,"array([6.94975374, 2.04930879])"
389,454,"array([6.93504512, 2.04436019])"
390,455,"array([6.93830034, 2.05946064])"
391,456,"array([6.91969362, 2.02360167])"
392,457,"array([6.929763  , 2.04074017])"
393,416,"array([6.94267034, 2.05610092])"
394,458,"array([6.97091161, 2.05219072])"
395,459,"array([6.9306202 , 2.02827893])"
396,460,"array([6.92688287, 2.04597807])"
397,464,"array([6.94841035, 2.04721352])"
398,465,"array([6.94897638, 2.05348994])"
399,466,"array([6.93169041, 2.04167304])"
400,467,"array([6.93150657, 2.04519105])"
401,468,"array([6.94473427, 2.0526392 ])"
402,463,"array([6.93503399, 2.04647261])"
403,469,"array([6.94898624, 2.0622156 ])"
404,462,"array([6.93264623, 2.04400042])"
405,470,"array([6.93335854, 2.04305602])"
406,471,"array([6.91319083, 2.05452142])"
407,472,"array([6.94312213, 2.05459645])"
408,473,"array([6.91970328, 2.04759911])"
409,369,"array([6.90667455, 2.04373341])"
410,425,"array([6.94544399, 2.05995424])"
411,417,"array([6.93872067, 2.0552694 ])"
412,475,"array([6.93566093, 2.03602071])"
413,476,"array([6.93814353, 2.04641991])"
414,197,"array([6.95819687, 2.0485148 ])"
415,477,"array([6.93320292, 2.04015483])"
416,478,"array([6.92634835, 2.05230099])"
417,424,"array([6.9369461 , 2.07367384])"
418,479,"array([6.94061523, 2.04562217])"
419,376,"array([6.90438584, 2.0413142 ])"
420,373,"array([6.90810166, 2.0381507 ])"
421,420,"array([6.90805185, 2.04150529])"
422,480,"array([6.9365799 , 2.04533644])"
423,398,"array([6.96187604, 2.03226415])"
424,481,"array([6.95147568, 2.07816134])"
425,482,"array([6.92004206, 2.03657576])"
426,483,"array([6.91737713, 2.02468681])"
427,484,"array([6.9351497 , 2.04928041])"
428,485,"array([6.92257348, 2.06447174])"
429,486,"array([6.95086576, 2.07542076])"
430,487,"array([6.92105866, 2.04201661])"
431,488,"array([6.93453942, 2.05147318])"
432,489,"array([6.93998839, 2.04630604])"
433,490,"array([6.92323647, 2.05422944])"
434,492,"array([6.95173255, 2.05795499])"
435,493,"array([6.94254241, 2.06550094])"
436,494,"array([6.94298258, 2.05241755])"
437,447,"array([6.93409999, 2.04922874])"
438,495,"array([6.9413024 , 2.05244792])"
439,496,"array([6.92951218, 2.03724264])"
440,497,"array([6.92778543, 2.0505631 ])"
441,499,"array([6.9369606 , 2.05233556])"
442,500,"array([6.93096896, 2.05205714])"
443,501,"array([6.93345944, 2.0473532 ])"
444,502,"array([6.94235626, 2.04654953])"
445,491,"array([6.93701447, 2.05984364])"
446,503,"array([6.92468985, 2.04729749])"
447,504,"array([6.92296091, 2.03594692])"
448,505,"array([6.9231751 , 2.05919753])"
449,506,"array([6.92821451, 2.06382097])"
450,498,"array([6.95057641, 2.04896741])"
451,507,"array([6.93467683, 2.05331431])"
452,331,"array([6.9123871 , 2.05292132])"
453,508,"array([6.92856321, 2.06046604])"
454,509,"array([6.91213849, 2.02773901])"
455,510,"array([6.9057372 , 2.02398824])"
456,511,"array([6.92457986, 2.0568807 ])"
457,512,"array([6.91292806, 2.0340023 ])"
458,513,"array([6.90434049, 2.0257016 ])"
459,514,"array([6.93403173, 2.05388647])"
460,515,"array([6.93207962, 2.05357517])"
461,516,"array([6.93698257, 2.05012824])"
462,517,"array([6.92766438, 2.04198533])"
463,422,"array([6.90639218, 2.04153014])"
464,518,"array([6.93253968, 2.05066415])"
465,337,"array([6.90555465, 2.03977523])"
466,519,"array([6.91303689, 2.04610807])"
467,520,"array([6.94005305, 2.04907145])"
468,381,"array([6.9072556 , 2.03984688])"
469,521,"array([6.94068877, 2.05784702])"
470,362,"array([6.90910133, 2.03968627])"
471,522,"array([6.94323339, 2.05565354])"
472,523,"array([6.94381263, 2.05058398])"
473,524,"array([6.92881383, 2.04144938])"
474,364,"array([6.90327933, 2.04529754])"
475,413,"array([6.90524714, 2.04289519])"
476,525,"array([6.92771539, 2.02800392])"
477,361,"array([6.94748636, 2.07616154])"
478,526,"array([6.93355042, 2.04137401])"
479,527,"array([6.9607406 , 2.06179191])"
480,529,"array([6.90626222, 2.03484379])"
481,530,"array([6.94042348, 2.05048037])"
482,531,"array([6.91618213, 2.03515373])"
483,532,"array([6.92782699, 2.04674483])"
484,533,"array([6.94141779, 2.06188307])"
485,534,"array([6.93248355, 2.04674486])"
486,535,"array([6.94702747, 2.05645121])"
487,536,"array([6.92718003, 2.04950168])"
488,537,"array([6.94769935, 2.0532959 ])"
489,538,"array([6.94449494, 2.0594738 ])"
490,539,"array([6.94451832, 2.06553832])"
491,540,"array([6.9479693 , 2.06330614])"
492,541,"array([6.92642605, 2.04361024])"
493,419,"array([6.93596049, 2.03754111])"
494,542,"array([6.93343519, 2.0445866 ])"
495,335,"array([6.90352999, 2.04315062])"
496,543,"array([6.91884088, 2.0540024 ])"
497,544,"array([6.92917633, 2.05612352])"
498,545,"array([6.95871602, 2.05979678])"
499,546,"array([6.95252427, 2.06844664])"
500,547,"array([6.94235825, 2.05783918])"
501,548,"array([6.93185917, 2.03972981])"
502,549,"array([6.94852505, 2.03216467])"
503,426,"array([6.90647215, 2.04568964])"
504,550,"array([6.94996433, 2.06671175])"
505,552,"array([6.94102308, 2.03024694])"
506,553,"array([6.91575904, 2.0676076 ])"
507,554,"array([6.93214701, 2.04072772])"
508,555,"array([6.9270877 , 2.03470995])"
509,556,"array([6.95221951, 2.05725108])"
510,557,"array([6.94208615, 2.03929737])"
511,558,"array([6.92487028, 2.03670407])"
512,559,"array([6.93763592, 2.04303799])"
513,560,"array([6.92766032, 2.02132151])"
514,561,"array([6.9457895 , 2.03720403])"
515,562,"array([6.92651015, 2.03753204])"
516,563,"array([6.91953564, 2.06140122])"
517,564,"array([6.89816853, 2.05554373])"
518,565,"array([6.95613022, 2.02859763])"
519,566,"array([6.95038059, 2.04724558])"
520,551,"array([6.92387334, 2.04630954])"
521,567,"array([6.93035512, 2.05543266])"
522,569,"array([6.94385404, 2.04797708])"
523,570,"array([6.90133655, 2.06265919])"
524,571,"array([6.90991072, 2.06306199])"
525,572,"array([6.9597695 , 2.03804936])"
526,573,"array([6.90061129, 2.05630654])"
527,575,"array([6.92118072, 2.02234048])"
528,474,"array([6.9221391 , 2.02927822])"
529,577,"array([6.94299971, 2.0473399 ])"
530,578,"array([6.93496768, 2.03695134])"
531,528,"array([6.99031559, 2.07057105])"
532,580,"array([6.91138447, 2.04635906])"
533,581,"array([6.91394255, 2.04982342])"
534,582,"array([6.9322258 , 2.03467669])"
535,583,"array([6.92764226, 2.05971641])"
536,584,"array([6.92440861, 2.04378184])"
537,585,"array([6.93231824, 2.05860146])"
538,586,"array([6.94603653, 2.04783302])"
539,587,"array([6.92818712, 2.0560623 ])"
540,589,"array([6.93941064, 2.0396575 ])"
541,590,"array([6.94358893, 2.07608792])"
542,592,"array([6.94648722, 2.06311738])"
543,579,"array([6.94468722, 2.0602056 ])"
544,343,"array([6.90815181, 2.03635318])"
545,594,"array([6.93319964, 2.06386859])"
546,595,"array([6.92894497, 2.06231642])"
547,596,"array([6.9276082 , 2.04086442])"
548,597,"array([6.91631999, 2.05250382])"
549,588,"array([6.91524151, 2.05288696])"
550,598,"array([6.90720234, 2.05175882])"
551,599,"array([6.89485953, 2.04433001])"
552,600,"array([6.91330276, 2.04167752])"
553,601,"array([6.91171061, 2.04467687])"
554,602,"array([6.91323151, 2.04444143])"
555,603,"array([6.92420391, 2.03256985])"
556,604,"array([6.88532379, 2.05102564])"
557,591,"array([6.93366999, 2.06135393])"
558,605,"array([6.93812465, 2.05699835])"
559,606,"array([6.94284478, 2.06026754])"
560,607,"array([6.91820957, 2.04068744])"
561,608,"array([6.94457931, 2.05186044])"
562,609,"array([6.89338047, 2.04650007])"
563,610,"array([6.94289358, 2.04320976])"
564,611,"array([6.91234234, 2.04304019])"
565,612,"array([6.92466202, 2.06472399])"
566,613,"array([6.91687413, 2.03388643])"
567,614,"array([6.89553387, 2.04713769])"
568,615,"array([6.92250972, 2.0657783 ])"
569,617,"array([6.93401203, 2.03774168])"
570,618,"array([6.91915524, 2.05001975])"
571,619,"array([6.92714476, 2.06329102])"
572,620,"array([6.92973504, 2.05940936])"
573,621,"array([6.94553364, 2.04697611])"
574,622,"array([6.91402379, 2.04291765])"
575,623,"array([6.94089306, 2.04875329])"
576,616,"array([6.94739242, 2.04963088])"
577,593,"array([6.93432679, 2.0455429 ])"
578,624,"array([6.93397791, 2.08220022])"
579,625,"array([6.9545475 , 2.07603298])"
580,626,"array([6.95005513, 2.04266513])"
581,628,"array([6.94644294, 2.04964131])"
582,629,"array([6.9293503 , 2.04976195])"
583,630,"array([6.93963846, 2.05310445])"
584,631,"array([6.94209654, 2.03142298])"
585,627,"array([6.960575  , 2.03503849])"
586,632,"array([6.93976508, 2.04735312])"
587,633,"array([6.93785434, 2.04115358])"
588,634,"array([6.94176325, 2.04924348])"
589,635,"array([6.93790709, 2.06128678])"
590,636,"array([6.91849169, 2.05674057])"
591,637,"array([6.91066091, 2.05096561])"
592,638,"array([6.91981896, 2.05635105])"
593,639,"array([6.93453937, 2.04305891])"
594,344,"array([6.904334  , 2.04679717])"
595,642,"array([6.94585969, 2.03982851])"
596,643,"array([6.93825071, 2.04399378])"
597,644,"array([6.94729336, 2.05857647])"
598,647,"array([6.94196744, 2.05029416])"
599,648,"array([6.93269767, 2.03302682])"
600,649,"array([6.93541303, 2.02966328])"
601,650,"array([6.94258738, 2.04959525])"
602,651,"array([6.94037016, 2.04191689])"
603,652,"array([6.9245329, 2.0523081])"
604,653,"array([6.93114067, 2.04960542])"
605,654,"array([6.94601716, 2.05326856])"
606,655,"array([6.91864676, 2.04879643])"
607,656,"array([6.94327262, 2.04599061])"
608,658,"array([6.93614839, 2.04619796])"
609,660,"array([6.9144302 , 2.05889481])"
610,661,"array([6.94730052, 2.03578504])"
611,662,"array([6.94898081, 2.01699135])"
612,663,"array([6.91490212, 2.04452298])"
613,664,"array([6.95035126, 2.06468482])"
614,574,"array([6.91247866, 2.07438368])"
615,659,"array([6.92074271, 2.05911521])"
616,665,"array([6.92215107, 2.05119412])"
617,666,"array([6.94056871, 2.04450181])"
618,667,"array([6.93975148, 2.04514651])"
619,668,"array([6.92831704, 2.03351569])"
620,670,"array([6.94010447, 2.0369772 ])"
621,671,"array([6.94734919, 2.02077429])"
622,672,"array([6.92532109, 2.04637486])"
623,674,"array([6.93292889, 2.03774228])"
624,675,"array([6.92358222, 2.02872565])"
625,676,"array([6.93377635, 2.03676087])"
626,677,"array([6.94282666, 2.04118766])"
