# source, target, rating, time
3,3312,2,1361468203.70267
3,331,5,1361775786.59393
3,1571,4,1362080980.91133
3,264,3,1362524310.66258
3,3617,1,1363893764.62385
3,1461,1,1367549394.97611
3,1785,3,1375802128.00462
3,2071,5,1376411536.70719
3,1594,3,1376656259.29394
3,4387,1,1376679281.04789
3,3433,2,1376689791.76154
3,138,2,1376689838.34514
3,1899,2,1376689867.66495
3,2571,1,1376689874.03304
3,1990,1,1376689917.76048
3,2569,1,1376690460.84982
3,2206,1,1376861513.43839
3,2247,1,1376861566.03875
3,159,1,1376861616.77461
3,1526,2,1376861712.95568
3,2118,1,1381943076.77549
3,424,1,1385402011.81544
3,1274,2,1385534417.10606
3,4071,1,1387229168.75427
3,4434,1,1387247686.04217
3,654,1,1392872603.3827
3,4757,2,1393114486.56217
3,5332,2,1393122217.91194
3,4169,2,1393133776.39875
3,3219,1,1393270822.72456
3,1350,4,1393291668.91734
3,1564,9,1394508251.85514
3,4823,2,1396943518.06938
3,2010,1,1397797784.45726
3,81,1,1398368138.10384
3,3815,1,1402018236.71736
3,150,3,1409525335.43723
3,5574,2,1410575569.15606
3,23,4,1411966327.40213
3,1337,-10,1411966351.79514
3,58,-5,1411966421.09508
3,945,-5,1411966511.14119
3,93,4,1411968388.90468
3,5799,2,1427161808.70857
4,67,2,1294919858.69515
4,44,1,1295011593.79396
4,66,3,1297359911.12964
4,123,1,1303416432.96096
4,253,2,1304514927.6556
4,390,1,1305028685.96683
4,680,1,1314458586.3227
4,107,1,1325782726.15849
4,1408,1,1325782910.54134
4,1234,1,1335281242.94122
4,24,1,1335434055.4703
4,194,4,1335646760.91166
4,2086,1,1339602312.77326
4,1526,3,1343309212.49259
4,4169,1,1397939321.72953
5,6,7,1289245277.36975
5,17,1,1289641693.99029
5,0,5,1289770756.50297
5,20,1,1290197549.13082
5,38,5,1292795818.34165
5,39,2,1292823618.44624
5,42,2,1293050723.00352
5,46,4,1293523499.48644
5,36,1,1294081177.89816
5,62,1,1294300030.22996
5,27,1,1295416571.50888
5,239,2,1303175312.55388
5,159,8,1304275176.59281
5,92,2,1304277450.28933
5,29,6,1304288061.6504
5,1,6,1304313526.7069
5,399,1,1304651955.12535
5,390,2,1305034767.34694
5,296,2,1305261958.34254
5,259,5,1305761024.14788
5,491,1,1306102554.827
5,10,7,1306102575.24275
5,275,5,1306214744.4408
5,28,6,1306469022.16295
5,489,2,1306611684.44486
5,471,1,1307058364.48005
5,488,1,1307103234.49659
5,7,8,1307592205.3629
5,1198,7,1308861974.70958
5,858,5,1309239244.73464
5,1210,5,1309243972.19887
5,792,-10,1309309207.93565
5,1238,-10,1309380593.09682
5,357,-8,1309380665.7699
5,58,7,1309390992.68538
5,915,4,1318631855.8713
5,1402,2,1322613940.10709
5,1526,1,1322970543.42236
5,1611,1,1324567719.17529
5,542,1,1325063002.92835
5,410,5,1328843186.20079
5,1308,3,1330146332.07857
5,1796,3,1335173610.13315
5,1929,3,1335173624.86527
5,1322,2,1337546128.61206
5,2087,2,1338928608.4915
5,14,3,1339024627.45965
5,1938,1,1339033102.75039
5,2115,2,1341953593.2165
5,1846,1,1342477401.12963
5,2225,3,1342680253.49069
5,3,10,1343107243.50322
5,2280,1,1345160673.27219
5,1154,8,1345615389.63891
5,147,1,1345946574.27877
5,434,4,1346127083.39532
5,2399,2,1347104729.97431
5,2913,1,1353463838.07829
5,23,5,1374079267.86669
5,3603,1,1374080345.58546
5,4917,8,1384567143.32134
5,4750,3,1385465129.09051
5,5402,3,1396948409.81867
7,8,8,1289254254.44746
7,9,8,1289254300.79514
7,14,2,1289873611.94452
7,19,2,1290088212.27332
7,3,8,1290520563.53596
7,22,1,1290761556.7369
7,10,1,1291757016.29721
7,35,2,1296690764.78868
7,157,1,1300839913.56754
7,464,1,1305596162.88015
7,545,1,1305608997.24008
7,558,1,1305657912.85412
7,138,1,1305658191.20959
7,565,1,1305667849.80141
7,571,1,1305692800.70556
7,572,1,1305697758.30593
7,66,1,1305698600.35684
7,577,2,1305723965.17845
7,445,3,1306724603.23869
7,694,1,1306758479.1149
7,695,1,1306767840.5961
7,598,2,1306772472.86087
7,697,1,1306780556.13048
7,704,1,1306806552.42494
7,588,1,1306870000.91275
7,718,1,1306871598.00885
7,1,2,1307038941.85577
7,471,1,1307058884.46795
7,636,1,1307166125.77178
7,814,1,1307213925.17426
7,727,1,1307216059.26543
7,650,1,1307229556.51377
7,838,1,1307231255.78158
7,488,1,1307262653.06628
7,41,1,1307276062.31081
7,605,1,1307277901.52223
7,5,8,1307638649.53879
7,114,1,1307696755.22909
7,792,-10,1307817872.40166
7,156,1,1308586664.09612
7,1174,1,1308701429.7513
7,1175,1,1308701488.12623
7,1178,1,1308708525.49093
7,573,1,1309394451.61321
7,835,1,1312346789.44871
7,401,1,1313391560.14651
7,461,1,1313397134.82808
7,1487,1,1319549347.7504
7,1491,1,1319834201.20998
7,543,1,1325196019.722
7,1322,1,1330458976.53751
7,1738,1,1330484825.9955
7,1779,1,1330643718.01539
7,435,3,1331101678.30218
7,1698,1,1331683244.87195
7,1273,3,1332188472.50214
7,1849,1,1332358960.51396
7,410,2,1332580507.64538
7,1856,1,1332713159.23014
7,1857,2,1332722473.85202
7,1755,-5,1332740903.69147
7,1869,1,1333005795.29065
7,1885,1,1334105868.31278
7,1932,1,1334962465.37731
7,1936,3,1335064649.48082
7,1942,1,1335152786.23179
7,1197,1,1335305634.07267
7,1951,1,1335396155.05036
7,1952,2,1335420518.6162
7,1003,2,1335499375.34486
7,1234,-1,1335688146.52696
7,1957,1,1335778835.28455
7,295,2,1335867869.44102
7,1976,3,1336081718.38267
7,1594,2,1336505841.58953
7,60,3,1336517158.83464
7,557,2,1336522049.57299
7,2015,1,1337219368.68432
7,945,3,1337879459.61393
7,1715,-1,1337908908.35538
7,2050,1,1338047646.08502
7,576,2,1338506639.71594
7,1365,1,1338517021.64236
7,2066,2,1338518652.90029
7,1346,1,1338521769.34595
7,1543,1,1338538536.38387
7,2101,1,1339112143.89633
7,499,2,1339115964.08879
7,1537,1,1339274301.04156
7,1969,1,1339483007.26441
7,1156,2,1339913503.24765
7,1697,1,1339927293.18526
7,2147,1,1340188808.84734
7,994,6,1340190120.17683
7,1867,5,1340360032.42734
7,1509,4,1340469153.05033
7,589,2,1340554322.06996
7,1626,3,1340555368.55223
7,167,2,1340645348.00216
7,2115,1,1340664340.32031
7,233,1,1340664404.61469
7,2006,1,1340984378.71939
7,1944,2,1341272933.44345
7,542,2,1341337705.32645
7,2170,-2,1341350663.6855
7,2200,-3,1341350830.39275
7,2204,2,1341420055.41442
7,1734,2,1341533214.24581
7,1913,3,1341621413.57186
7,1809,4,1341871316.02571
7,2165,1,1343467326.70139
7,2154,6,1343594815.02116
7,1937,3,1343723388.66942
7,1481,1,1343812957.3084
7,2161,1,1344206163.94305
7,1868,1,1344355623.90032
7,334,2,1344494605.37336
7,1778,1,1344554053.8688
7,2339,2,1344703425.71537
7,2345,1,1344747233.85096
7,2125,4,1345276480.92463
7,1350,3,1345406044.74825
7,1878,2,1346040064.22377
7,662,1,1346973647.73792
7,2486,2,1347054308.08383
7,2488,1,1347072830.23977
7,2484,1,1347073513.98423
7,2495,-10,1347295517.77007
7,1624,3,1347370437.88005
7,1700,2,1347418144.68104
7,434,1,1347560285.16482
7,491,3,1347584658.28599
7,2519,2,1347588084.55875
7,2542,1,1347854970.95628
7,1835,1,1347856683.88869
7,1862,2,1347902397.65847
7,2135,1,1348793158.28448
7,2225,5,1349421061.05263
7,2613,2,1349512571.58931
7,2249,1,1349528287.46389
7,16,10,1352414354.15969
7,2877,1,1352583385.00911
7,744,1,1352584828.70351
7,559,-1,1352775524.27595
7,2430,-10,1352796329.13457
7,2944,1,1357800352.43082
7,36,4,1359683074.18137
7,2710,1,1359886103.15732
7,3325,1,1359887317.17277
7,2778,1,1360141742.53456
7,264,1,1360185556.77108
7,2571,1,1360289176.4585
7,2876,1,1360309229.84511
7,3349,1,1360381103.47067
7,2323,1,1360496952.14753
7,3116,1,1360608273.71187
7,3376,1,1360822926.25858
7,3367,-10,1360884431.34944
7,3219,3,1360894695.48865
7,1581,1,1361343252.08609
7,3521,1,1363209555.79793
7,117,2,1363340399.78151
7,1308,-10,1365374612.38966
7,683,2,1365720195.10954
7,3526,2,1366085143.4698
7,2827,-1,1366664817.01622
7,3818,1,1367292822.38739
7,3537,1,1367427021.92609
7,1846,3,1367450998.42915
7,4006,1,1367483797.3547
7,3025,1,1367541253.73736
7,3358,1,1367637209.77085
7,859,1,1367676025.98052
7,3618,1,1367964256.21739
7,2762,2,1368062329.45325
7,4119,1,1368225412.23381
7,4141,1,1368477062.35703
7,3300,1,1368477945.24378
7,2443,1,1368502070.42133
7,2071,2,1368912751.7366
7,3081,1,1368921333.65066
7,2725,5,1368982913.453
7,4180,2,1369089100.89933
7,3291,5,1369462915.07094
7,4121,1,1369690483.18999
7,0,-1,1369868288.46505
7,93,5,1369882386.96669
7,1980,-3,1369885030.95569
7,4236,1,1370333286.49455
7,3440,4,1370415516.96125
7,1294,5,1372898206.18891
7,1796,3,1375002838.13683
7,4393,2,1375235921.52758
7,23,3,1375310977.09169
7,4261,1,1379014785.44662
7,656,-2,1388719392.82988
7,2956,2,1402437576.40224
7,3891,4,1405163286.32013
7,5601,-2,1407593800.28096
7,5787,2,1424518464.27028
7,297,6,1435125236.66617
7,5791,1,1437636650.16525
7,5847,1,1437801956.73258
7,5848,-10,1437887243.67785
7,1990,2,1438360542.54127
7,4406,3,1439951668.36383
7,5859,2,1439968884.79449
7,2199,3,1449543772.38358
7,4478,2,1453317761.37165
7,1081,1,1453679632.98571
9,3,8,1289555656.32898
9,0,7,1289555731.22217
9,11,8,1289555745.64663
9,13,1,1289555767.7095
9,16,10,1289555841.66508
9,1,7,1289555871.04233
9,6,7,1289555875.70958
9,36,8,1323398450.66922
10,2,1,1289362700.47913
10,22,1,1290644457.56157
10,0,3,1290826591.42034
10,19,2,1291376109.62385
10,7,1,1291757031.50303
10,6,6,1292200462.1576
10,24,3,1292361185.86524
10,34,4,1292442401.75654
10,37,1,1292447857.20632
10,12,4,1293409870.96218
10,18,2,1293481688.78585
10,51,1,1293604590.1113
10,29,5,1293632316.69358
10,63,2,1294438542.46541
10,77,1,1295847189.68733
10,79,1,1296085723.47309
10,71,2,1296528668.83435
10,31,1,1296528718.47876
10,84,1,1296553673.17861
10,87,2,1296688773.26321
10,90,1,1296792123.6835
10,35,5,1296913557.93463
10,95,1,1297370441.70883
10,54,5,1297467512.37907
10,98,2,1297482206.04112
10,41,3,1297980493.92464
10,118,3,1298169938.52399
10,3,7,1298267346.36932
10,122,1,1298759550.40835
10,141,2,1299088214.0403
10,53,1,1299093649.42249
10,142,1,1299151907.92823
10,145,2,1299206119.67434
10,146,1,1299283600.03025
10,23,2,1299679074.43262
10,153,1,1299732938.35009
10,114,1,1299912911.49571
10,157,2,1300015561.6701
10,161,1,1300232688.61261
10,78,3,1300240396.64097
10,166,1,1300411884.69399
10,163,2,1300568050.6267
10,164,3,1300720137.00426
10,66,1,1300745124.00214
10,169,1,1301023265.29454
10,135,-1,1301032557.19767
10,185,3,1301569599.51207
10,1,5,1301899167.88298
10,27,5,1301899174.23402
10,36,5,1301899185.05481
10,11,5,1301899226.79428
10,46,2,1301899299.67572
10,58,6,1301899326.87125
10,131,2,1302112511.70515
10,101,4,1302236754.91664
10,215,4,1302449755.37367
10,207,4,1302824119.085
10,226,1,1302845532.66568
10,195,2,1302970025.95609
10,242,1,1302978023.97721
10,250,1,1303099054.93551
10,228,2,1303251550.345
10,260,1,1303263457.99911
10,93,2,1303269567.19431
10,221,2,1303391987.2434
10,269,2,1303544457.63505
10,206,1,1303553119.7487
10,76,1,1303683667.37366
10,176,1,1303692370.73546
10,182,1,1303692429.76732
10,281,1,1303702693.65596
10,252,4,1303754914.81181
10,5,4,1303848523.63039
10,159,4,1303881691.04131
10,298,1,1303900440.54604
10,94,3,1304024850.87669
10,307,1,1304043629.91166
10,100,3,1304118180.08223
10,333,1,1304280998.43631
10,138,1,1304286473.23536
10,288,2,1304303804.54562
10,113,4,1304314930.11222
10,354,2,1304367720.99393
10,102,1,1304407106.34326
10,362,1,1304432824.64443
10,249,2,1304471736.24443
10,349,-1,1304474308.43328
10,233,5,1304497864.54586
10,381,1,1304559682.00964
10,383,1,1304565310.19314
10,396,2,1304659383.43351
10,408,1,1304700405.80125
10,417,2,1304742817.6133
10,266,-1,1304794671.73727
10,424,1,1304795725.47542
10,316,1,1304818554.74237
10,377,2,1304898573.80935
10,432,1,1304900284.57863
10,437,3,1304901562.80836
10,320,1,1304932739.19819
10,407,-1,1305013985.86828
10,450,2,1305040442.60174
10,323,2,1305078050.13437
10,436,4,1305168688.31978
10,190,3,1305176269.86887
10,489,1,1305272732.62842
10,160,3,1305327203.10342
10,167,5,1305335065.16672
10,422,1,1305359130.6882
10,500,2,1305361379.78163
10,277,4,1305377724.6667
10,49,3,1305565340.53106
10,69,5,1305565654.99696
10,536,1,1305569958.89318
10,520,2,1305600657.32131
10,127,4,1305608753.12897
10,427,2,1305698226.65375
10,576,1,1305714708.83137
10,344,2,1305767271.46193
10,91,5,1305841706.95155
10,596,3,1305906052.699
10,606,4,1305972919.607
10,607,1,1305980430.793
10,543,4,1306108661.91248
10,493,3,1306120757.79072
10,601,2,1306164523.57329
10,151,3,1306238451.96752
10,332,3,1306354091.8881
10,477,2,1306365541.44775
10,617,2,1306374953.59747
10,572,1,1306380888.4466
10,593,4,1306446575.72392
10,661,3,1306482978.92285
10,111,2,1306519740.34394
10,674,3,1306536996.46311
10,684,2,1306644708.83193
10,308,3,1306881774.35595
10,573,2,1306885017.41266
10,50,5,1306994515.79742
10,501,2,1307150279.59685
10,831,2,1307220657.04138
10,842,3,1307253003.83143
10,707,2,1307309551.7803
10,745,1,1307309824.91413
10,897,2,1307434058.12023
10,86,4,1307482055.23061
10,910,1,1307488001.4639
10,789,3,1307553971.03366
10,880,2,1307589276.42148
10,991,2,1307651649.19391
10,1052,2,1307836955.12697
10,155,3,1307905695.01562
10,331,5,1307906789.83155
10,89,5,1307943108.80899
10,484,2,1307951723.73405
10,856,-10,1308064620.19629
10,1107,3,1308110575.10404
10,165,2,1308179856.58147
10,1120,2,1309069623.72422
10,1234,1,1309352731.69398
10,577,4,1309401417.61407
10,1051,6,1309401451.74701
10,835,4,1309416197.84045
10,1175,2,1309696725.0092
10,960,2,1310095919.31428
10,1291,1,1310619705.04136
10,1294,1,1310698578.00886
10,911,3,1310963740.62001
10,1227,-1,1311221770.48016
10,110,2,1311312658.42227
10,240,3,1312011917.63677
10,1003,5,1312078549.68195
10,1366,1,1312953496.70138
10,471,2,1313212110.47832
10,189,5,1313390505.18572
10,1382,1,1313579288.90246
10,983,2,1313900308.41986
10,915,4,1314063046.00712
10,411,5,1315185780.57019
10,398,3,1316380317.5964
10,237,2,1316545753.44415
10,15,4,1318847945.25045
10,1402,2,1319831636.0543
10,1478,4,1321159614.94838
10,56,3,1322524170.11779
10,488,4,1323147460.06269
10,498,1,1323609246.13227
10,92,3,1324093698.75679
10,1581,1,1324276905.1957
10,1545,1,1325137743.17483
10,1612,1,1325454845.64132
10,1272,2,1325965759.46792
10,491,3,1326085210.00961
10,1651,1,1326432235.99629
10,259,3,1327142574.55302
10,1611,1,1327248196.45006
10,1635,2,1330364319.23252
10,1807,1,1331543166.76902
10,945,3,1331889075.71784
10,1156,1,1334885383.52443
10,1989,1,1336455431.95419
10,1980,3,1337395643.63052
10,14,6,1337482515.37366
10,1273,4,1338794508.60643
10,1927,2,1339811634.85499
10,1734,1,1339995454.98205
10,172,5,1340680246.75071
10,1991,2,1341790707.71331
10,2039,1,1342097600.77473
10,38,4,1342274605.91986
10,2145,1,1342579909.11778
10,1846,3,1343092380.12064
10,1453,-5,1343647173.22108
10,2335,1,1345152842.37962
10,1509,1,1345492059.75338
10,2309,1,1345541528.88497
10,410,3,1346030522.5559
10,2329,4,1346560164.28062
10,2464,1,1346801419.93369
10,2172,1,1347180542.64431
10,1274,2,1347437472.52405
10,677,3,1350176359.32018
10,2257,2,1350523882.83185
10,2569,2,1350623810.50095
10,2962,1,1353828233.09036
10,2117,1,1353957776.14813
10,2864,1,1354011022.1689
10,3059,1,1355284116.38018
10,4847,1,1382589742.22293
10,5331,1,1393042884.1876
10,5328,1,1393045890.55177
10,5327,2,1393046021.17957
11,1,5,1289380981.52787
11,3,8,1289441411.46365
11,9,8,1289441438.4426
11,13,9,1289441450.59006
11,6,7,1289441525.73831
11,24,2,1292297608.09604
11,27,2,1292819328.73322
11,10,5,1293191604.74618
11,89,2,1297824884.76968
11,82,1,1298176196.50247
11,54,5,1303085826.86171
11,264,6,1303483211.91199
11,107,8,1303540925.97946
11,400,1,1304658111.53424
11,433,8,1304865878.74992
11,449,1,1305028592.74889
11,52,5,1305294552.08546
11,570,1,1305690291.70367
11,729,2,1307109792.15531
11,189,1,1307156782.27726
11,241,1,1307763906.51316
11,2135,2,1344558302.80736
13,3,3,1291315232.33698
14,6,5,1289442313.03711
14,15,1,1289489668.48486
14,18,1,1289836081.52099
14,7,2,1289873367.89538
14,12,2,1290108486.68868
14,3,9,1291217882.28299
14,57,1,1294192094.04763
14,27,1,1294689438.39491
14,260,1,1303264358.25127
14,108,2,1304126859.89419
14,313,2,1304129066.89126
14,10,4,1304135542.26647
14,354,2,1307730796.23097
14,471,1,1308627060.37368
14,5,1,1339024627.64947
14,1230,1,1358804426.34803
14,3116,1,1364342012.44662
14,1808,1,1364386316.52593
14,3647,-10,1364386442.48748
14,3685,1,1364487390.10848
14,3659,-10,1364582497.89672
14,3660,-10,1364582498.05599
14,3662,-10,1364582498.16913
14,3663,-10,1364582510.64263
14,2763,1,1366231971.05438
14,967,2,1367246589.40402
15,14,1,1291623781.12772
15,29,1,1291623787.90955
15,21,1,1293646340.181
15,12,1,1293661055.82282
15,43,1,1293888120.91641
15,10,5,1296076062.49974
15,76,1,1296579082.73748
15,91,4,1297815736.60998
15,218,2,1302565807.95899
15,184,1,1302820322.40181
15,479,2,1305232514.29578
15,635,2,1306197148.7149
15,1170,6,1308696916.50091
15,896,3,1308697466.85262
15,1171,2,1308697486.47276
15,3,7,1308697521.08128
15,1172,5,1308699002.16622
15,1169,7,1363033600.46793
17,5,1,1289641703.57785
17,629,1,1306153179.44795
17,580,2,1306447241.51324
17,733,2,1307294246.96399
17,884,2,1307437066.00411
17,1812,2,1331660250.70241
17,1930,1,1334913962.10072
17,2072,1,1338659569.95319
17,2085,2,1338879314.79425
17,1337,-10,1346890182.48742
17,23,3,1346890534.04278
17,757,1,1366215367.7045
18,10,1,1293482234.62328
18,43,3,1294152392.91925
18,89,1,1297207240.84724
18,184,1,1303447886.00988
18,315,1,1306463984.2936
18,23,1,1347944480.31453
18,2725,2,1350070793.65369
19,7,2,1290090118.30882
19,32,1,1292070534.03952
19,33,1,1292085236.69986
19,10,2,1292716197.42619
19,54,2,1299735274.57295
19,169,1,1301020983.01394
19,167,2,1301142985.03367
19,3,4,1301365737.22085
19,176,1,1301365871.60088
19,127,1,1301617653.67475
19,205,2,1302290506.1325
19,163,1,1302932675.14829
19,257,1,1303256262.8433
19,259,1,1303258734.82521
19,155,1,1303359602.70177
19,230,2,1303361096.159
19,237,1,1303361108.41975
19,284,1,1303725238.7572
19,291,1,1303772944.96537
19,143,1,1303773860.99357
19,58,2,1304137573.44221
19,233,1,1305005489.7662
19,413,1,1305091191.41024
19,472,1,1305152580.4453
19,211,1,1305958872.69004
19,607,1,1305975691.00054
19,350,1,1306201610.3913
19,93,1,1306418572.39306
19,781,1,1307092762.37677
19,737,1,1307111544.32751
19,841,1,1307249876.2265
19,1125,1,1308277985.04208
19,320,2,1308472446.62939
20,5,2,1290197554.48422
20,3,3,1291055972.91439
21,0,1,1290300441.66925
21,3,1,1290666928.42163
21,15,1,1293643257.60649
21,1154,1,1314507202.83724
21,4089,1,1404152786.92767
21,2551,1,1405610165.87775
22,10,1,1290644477.40213
22,3,1,1290752776.47886
22,7,1,1290758643.30207
23,0,2,1291056174.72596
23,3,1,1291159911.11891
23,40,1,1292920838.87248
23,43,1,1293448472.81444
23,44,1,1293448479.2438
23,55,1,1293994479.85825
23,10,2,1300184211.54803
23,78,2,1301003730.28041
23,201,1,1302027410.92431
23,203,2,1302082638.35105
23,222,1,1302639584.04456
